index,Unnamed: 0,Nuclei_Location_Center_X,Nuclei_Location_Center_Y,Key,Target,Label,Metadata_Well,Image_Name
0,0,1606.45865237366,48.58039816232772,16767/A01/1,1,young,A01,16767/A01/1/1@1606.45865237366x48.58039816232772.png
1,1,1183.7442857142858,115.42142857142858,16767/A01/1,1,young,A01,16767/A01/1/1@1183.7442857142858x115.42142857142858.png
2,2,1940.952380952381,122.57619047619048,16767/A01/1,1,young,A01,16767/A01/1/1@1940.952380952381x122.57619047619048.png
3,3,1944.525,220.75625,16767/A01/1,1,young,A01,16767/A01/1/1@1944.525x220.75625.png
4,4,1474.4862637362637,290.9848901098901,16767/A01/1,1,young,A01,16767/A01/1/1@1474.4862637362637x290.9848901098901.png
5,5,1866.5147286821705,303.3643410852713,16767/A01/1,1,young,A01,16767/A01/1/1@1866.5147286821705x303.3643410852713.png
6,6,1971.0835322195703,423.0389817024662,16767/A01/1,1,young,A01,16767/A01/1/1@1971.0835322195703x423.0389817024662.png
7,7,851.2323330106486,468.1800580832527,16767/A01/1,1,young,A01,16767/A01/1/1@851.2323330106486x468.1800580832527.png
8,8,2004.0263929618768,651.9486803519062,16767/A01/1,1,young,A01,16767/A01/1/1@2004.0263929618768x651.9486803519062.png
9,9,1926.9931693989072,667.4112021857924,16767/A01/1,1,young,A01,16767/A01/1/1@1926.9931693989072x667.4112021857924.png
10,10,1168.6787096774194,796.581935483871,16767/A01/1,1,young,A01,16767/A01/1/1@1168.6787096774194x796.581935483871.png
11,11,480.24508966695134,870.7822374039283,16767/A01/1,1,young,A01,16767/A01/1/1@480.24508966695134x870.7822374039283.png
12,12,1943.215946843853,1067.5415282392028,16767/A01/1,1,young,A01,16767/A01/1/1@1943.215946843853x1067.5415282392028.png
13,13,1768.8368246968028,1188.8147739801543,16767/A01/1,1,young,A01,16767/A01/1/1@1768.8368246968028x1188.8147739801543.png
14,14,1831.8391521197009,1315.001246882793,16767/A01/1,1,young,A01,16767/A01/1/1@1831.8391521197009x1315.001246882793.png
